f_id,o_id
18106,61
19364,36
5776,162
4522,569
15452,232
4609,135
12880,1075
18810,1414
17589,18
19255,178
3328,365
7458,3467
8660,327
5226,27
10008,6561
8768,8
452,3904
13335,121
9529,1099
15522,188
16728,7
5400,3388
4220,3
15326,694
14070,201
13362,136
18910,1330
6750,59
2773,57
17232,518
11392,0
2377,4052
16238,82
9940,29
7261,1889
862,3185
5658,1317
15786,27
8619,821
2975,1886
18902,161
14092,201
19220,14
5620,2832
9792,28
14605,23
13335,573
4866,1140
11066,1033
12330,370
15098,2
4873,432
9531,81
679,31
18351,36
11994,0
18714,701
16264,0
9265,158
17396,33
19456,82
10382,282
16508,545
9848,1
3928,11
8050,1214
17474,3086
17529,201
7524,1065
13986,8
10536,981
19674,5
11172,194
7392,54
3505,40
13658,24
3680,666
1576,1281
19694,179
748,198
12278,5
18127,1
3301,1914
9832,3559
12992,4830
16845,169
1421,383
9497,2515
12187,356
18600,7
1252,1272
3764,1864
13511,107
954,3955
2242,177
12646,1733
11244,1077
13727,3434
8955,186
18941,402
10976,15
1122,40
16403,81
3681,5774
19266,3115
19706,86
5072,2816
11575,0
7920,852
4467,10
7514,13
18902,7843
12314,3521
2831,57
18125,2872
9708,58
12917,92
5036,38
4561,66
10012,2
1400,408
15090,28
4918,6
1534,2355
2796,925
14654,13
18709,7827
7794,87
11555,266
18736,3
5012,62
17427,101
7699,24
16620,81
11587,125
2645,177
6470,76
4827,73
12646,428
686,509
1830,1070
5491,30
4760,446
14641,1120
9208,57
18750,7818
5244,2177
15614,1104
9256,7
10206,133
18090,1
13252,2559
593,36
11240,270
12822,653
4745,8
258,1174
9963,1
5434,420
9578,33
13682,435
11647,1492
1812,498
16440,3768
14334,187
834,40
17113,684
12496,1
38,24
10556,78
2278,81
9198,3401
8424,36
12880,2763
2000,144
13473,214
14424,487
12357,849
14537,8
14945,155
374,51
17790,220
4032,69
4434,447
12958,409
6344,261
10080,6579
18151,82
6786,599
7434,219
8224,489
1544,283
352,699
6340,2204
9787,1525
17860,72
10602,80
11268,495
9330,36
10678,133
960,169
11489,1
5582,3357
11491,591
15708,36
2578,5644
19402,7921
1929,5558
15590,0
784,22
17040,859
13712,468
5178,717
7095,1415
2124,32
15670,27
18874,224
16191,623
8653,1520
17394,2055
18951,3108
12745,190
6532,342
13667,435
15146,1435
16352,349
8661,6413
8966,846
16465,1234
18894,22
10634,363
13206,3000
17592,81
11916,1562
4840,298
14922,1881
4705,4239
19502,24
17527,131
10947,41
17722,4100
2801,2746
15113,88
11122,1
14368,1
19453,31
1120,17
4998,884
8653,820
8526,2
908,1110
14833,1764
18998,85
8740,220
16590,2291
14140,3018
11223,6774
18351,510
6871,2478
19770,37
19002,139
14475,686
10010,7
14885,919
3854,2422
15037,60
12398,170
14509,387
15303,7361
14314,144
13237,31
17695,408
2724,24
16180,421
6279,22
4825,112
7194,27
338,1102
16931,180
18830,7
8353,4
3060,7
19489,70
19090,395
9270,0
18963,107
11047,1033
3776,1755
5850,149
13480,1345
7412,66
9392,190
9482,48
5753,582
9468,137
12306,4
16160,359
18136,774
8836,373
15369,1075
15768,512
316,115
17769,460
10792,13
9548,128
17545,995
11338,56
13202,221
4832,336
15571,34
3844,1398
19086,129
8886,1158
3406,3
17325,2515
12699,381
15732,23
