a_id,o_id
364,169
5,3159
260,1020
59,1793
1076,22
11,1470
582,1503
179,196
255,81
331,385
175,7832
268,5
536,7801
37,448
1132,3
392,1401
21,2144
1416,1356
27,583
126,51
59,86
396,2907
158,782
1,209
61,1089
143,3238
1343,2538
720,614
148,151
44,32
157,351
541,2976
0,390
4,1250
138,60
23,3615
181,107
4,3000
536,22
167,8
10,1861
0,2151
132,304
42,434
26,991
442,4583
26,2482
62,0
2,1783
4,921
270,3476
389,833
36,522
6,1190
3,1527
8,43
10,1433
250,2
17,419
109,829
19,429
587,3782
397,88
74,423
79,4563
11,555
50,15
292,80
403,3525
405,287
225,19
601,1940
8,1410
380,4605
27,4330
40,2035
238,2042
7,349
13,6584
334,56
103,325
172,66
82,448
725,1306
213,1142
414,3
522,344
185,2573
18,4115
229,0
4,4162
379,511
2109,38
58,152
134,29
67,74
30,66
242,28
1035,27
4,1365
161,2
237,791
6,362
1626,6786
4,2083
8,282
26,7698
377,605
184,4755
19,122
1755,199
147,6050
1,7004
1577,3487
681,6354
233,1426
3,6138
14,131
392,1943
1019,248
744,2262
267,1481
351,3343
4,12
1742,1693
19,2205
278,342
235,3711
1059,1291
451,894
87,4422
5,631
1104,3768
448,188
35,460
5,1260
60,9
120,740
191,941
8,4999
168,186
22,36
6,601
14,4161
0,4266
1210,4017
170,3618
183,19
35,8
23,571
182,88
2,754
1203,558
138,402
834,1111
380,833
1220,3971
10,59
30,1874
21,665
327,3136
74,857
1072,0
39,5
215,3244
237,140
274,150
57,222
25,1060
80,201
795,600
29,128
94,6282
1,1511
22,715
612,63
467,616
402,133
14,14
26,2188
237,2155
60,344
482,38
122,1
27,2517
175,121
4,375
320,36
202,8
25,2557
6,1416
545,558
49,2975
70,3
1,520
400,27
998,4760
1458,222
480,152
376,473
113,1242
2,5
41,569
283,532
315,423
167,547
12,460
471,169
21,106
5,1557
23,716
779,131
686,598
829,906
114,27
680,3630
745,1812
54,5366
30,692
369,56
1168,3730
34,538
18,247
322,257
89,58
52,938
127,3198
995,58
190,792
17,454
14,7998
98,2399
478,23
28,194
9,2974
74,384
583,1
32,884
518,884
64,5
353,3457
292,61
223,3435
22,130
144,124
300,3128
122,4894
10,605
12,3
201,206
277,161
83,238
69,1999
1388,1672
2122,555
5,4112
7,5133
38,3285
1,2532
52,1669
91,425
1,65
196,4669
1663,8
0,1707
26,1163
980,804
67,81
0,54
2,3548
189,734
9,296
246,1189
11,406
20,168
6,399
29,38
105,448
32,7965
5,94
2081,1132
11,2473
32,67
172,2684
198,464
94,257
123,7738
4,41
1181,5098
368,122
8,187
47,122
17,51
193,7661
577,27
5,530
10,908
21,1143
1335,1050
307,278
97,894
30,3418
249,43
79,3651
41,855
244,874
1,3112
11,699
692,4218
22,25
225,131
315,1
4,5435
206,341
10,448
17,1508
24,2056
505,973
1160,1277
78,2
276,1742
16,1323
559,934
1103,165
77,75
211,1193
10,4
2086,351
886,1298
464,47
46,809
27,489
299,268
94,6319
147,6876
4,2227
294,1
264,116
134,2178
146,8
11,4281
5,451
213,3028
28,100
1370,27
14,51
212,3029
175,100
2,506
41,0
131,130
403,617
35,4054
302,1925
98,450
762,45
47,399
17,168
16,5929
5,903
10,819
17,1557
74,186
5,1148
627,3114
9,1325
14,1226
16,127
590,569
154,229
11,820
987,2379
20,718
54,1438
45,13
31,78
7,3864
12,1926
28,2569
72,4
7,102
22,4837
11,240
20,2
299,61
18,6323
1544,1117
10,1931
155,1198
86,886
33,122
342,492
152,1186
4,963
105,698
179,351
474,1633
331,40
16,5592
5,328
46,3440
0,1368
1261,8
454,80
4,263
1053,284
5,5735
147,1061
91,1063
1,3027
22,231
97,7339
107,13
38,1161
9,4992
26,29
10,678
12,24
187,2
480,8
10,7958
713,2330
106,222
55,11
105,1586
112,722
1465,5628
149,51
426,616
19,2898
723,402
1,100
8,776
577,1462
5,1957
7,219
9,1686
30,8
304,2134
0,43
215,3437
51,2548
596,6384
417,54
2,1116
36,1800
1,2139
1092,17
1613,497
566,360
38,785
100,42
63,422
10,1854
137,32
1580,141
0,2060
833,360
162,1400
74,604
166,4
1794,1202
1081,51
71,121
142,220
1,1260
22,566
368,95
61,20
8,128
17,86
886,32
155,192
35,566
237,2416
17,3352
46,154
302,0
219,674
1032,2329
297,384
275,4413
66,735
47,2048
31,224
2158,8
197,8
38,1028
43,2538
409,24
123,3500
49,1
139,131
676,122
549,500
141,497
1748,454
5,1366
496,782
162,2183
69,1887
85,841
200,145
237,638
1,2324
43,461
543,8
137,2932
174,3685
24,14
296,1299
1563,4465
185,2656
215,56
1068,232
3,3320
275,383
180,7085
21,367
150,845
173,1636
152,353
1632,2
124,101
901,497
80,3
6,1914
134,2215
166,1812
669,919
28,1
25,6273
136,1863
14,84
92,1432
867,2
904,24
228,1608
249,351
251,313
94,145
4,185
22,1318
977,727
27,72
350,3738
83,5468
151,43
444,23
356,891
1,710
1470,3056
6,2605
3,112
5,930
10,796
923,163
959,2589
1269,6234
8,3265
1506,8
21,3708
5,1031
55,3784
23,194
295,1113
233,510
16,20
2,91
537,726
81,2830
3,7459
267,357
45,40
248,76
183,190
79,377
10,336
12,262
1161,7127
699,68
21,48
7,125
330,1092
99,897
152,48
323,2325
712,40
963,3612
5,4373
1039,844
322,3859
10,2417
91,82
8,574
137,414
1988,28
150,984
261,37
508,1628
53,131
143,1
341,248
66,161
325,2936
13,614
675,3093
2,6541
15,232
331,15
8,122
65,2947
144,618
70,744
